video_id,user_id,comment,label,is_quality_related,quality_label
82,1081,"Solid attempt, could be better ",neutral,False,1
11,1010,"Whoa, whoa, whoa, whoa, whoa. ",neutral,False,1
461,1460,"Unwatchable, my eyes need therapy ",negative,True,0
447,1446,"Whoa, whoa, whoa, whoa, whoa. ",neutral,False,1
26,1025,Lowkey the best thing on my FYP today ,positive,False,1
244,1243,Bro thought he ate  ,negative,False,1
395,1394,"Not bad, not great either ",neutral,False,1
223,1222,"Not bad, not great either",neutral,False,1
304,1303,"This made my whole day better, tysm! ",positive,False,1
415,1414,Does it hurt? Though? ,neutral,False,1
411,1410,"Not bad, not great either ",neutral,False,1
396,1395,"Not bad, not great either ",neutral,False,1
189,1188,This was kinda mid ngl ,negative,False,1
71,1070,Singing is a gift. U didn’t receive it. ,negative,False,1
234,1233,Why are you so perfect? Are you a toaster? ,positive,False,1
397,1396,How are you real?? Unreal talent ,positive,False,1
377,1376,Bro thought he ate  ,negative,False,1
255,1254,"Drip is immaculate, I’m stealing this look  ",positive,False,1
196,1195,Your video just cured my depression. Do you take cash or card?,positive,False,1
412,1411,Lowkey the best thing on my FYP today ,positive,False,1
442,1441,Singing is a gift. U didn’t receive it. ,negative,False,1
482,1481,Ok but what’s the context here? ,neutral,False,1
218,1217,"If I had a dollar for every time I watched this, I’d buy TikTok. ",positive,False,1
76,1075,Ok but what’s the context here? ,neutral,False,1
282,1281,How are you real?? Unreal talent ,positive,False,1
118,1117,"Not bad, not great either ",neutral,False,1
88,1087,"Drip is immaculate, I’m stealing this look  ",positive,False,1
93,1092,The editing? The vibes? Chef’s kiss  ,positive,True,2
183,1182,Singing is a gift. U didn’t receive it. ,negative,False,1
342,1341,Lowkey the best thing on my FYP today ,positive,False,1
317,1316,"Solid attempt, could be better ",neutral,False,1
441,1440,"Meh, it’s fine I guess ",neutral,False,1
49,1048,Singing is a gift. U didn’t receive it. ,negative,False,1
34,1033,Ok but what’s the context here? ,neutral,False,1
352,1351,"Yo, dude, you won't believe what just happened. ",neutral,False,1
499,1498,"Meh, it’s fine I guess",neutral,False,1
212,1211,Why are you so perfect? Are you a toaster? ,positive,False,1
414,1413,Why are you so perfect? Are you a toaster? ,positive,False,1
471,1470,"Meh, it’s fine I guess ",neutral,False,1
357,1356,Ok but what’s the context here? ,neutral,False,1
410,1409,"Certified slay, no notes  ",positive,False,1
217,1216,Does it hurt? Though? ,neutral,False,1
390,1389,"Solid attempt, could be better ",neutral,False,1
