video_id,user_id,views,captions,subtitles,top_comments,likes,comment_count,shares,saved_count,viewer_retention_percentage
2001,1,14055,"fps, gaming",Here’s a ranked gaming match with commentary on positioning and decision making.,"Not useful at all. | Too repetitive and unoriginal. | Disliked the presentation style. | Really boring, I didn't enjoy this. | Poor quality, needs improvement.",1195,94,89,194,37.2
2002,4,19998,"adventure, trip highlights","Join me as I explore a new city, sharing highlights and travel tips along the way.","High quality and well presented. | Great explanation, very helpful. | Amazing content, keep it up! | Loved this video! | This was super entertaining.",733,178,58,220,70.55
2003,13,4213,"funny, internet humor",This video is packed with comedy skits and internet humor for a good time.,"Disliked the presentation style. | Not useful at all. | Really boring, I didn't enjoy this. | Poor quality, needs improvement. | Too repetitive and unoriginal.",220,27,16,54,64.61
2004,14,5992,"adventure, trip highlights",In this vlog I’m taking you with me on an adventure to discover amazing places.,"Interesting perspective. | This was okay overall. | Not bad, could be better. | Thanks for sharing. | I learned something new.",490,38,38,41,40.33
2005,15,16155,"soccer workout, endurance",Let’s train together! Today I’m going through a soccer workout to build stamina.,"Not bad, could be better. | This was okay overall. | I learned something new. | Interesting perspective. | Thanks for sharing.",1058,78,87,132,65.68
2006,3,21523,"comedy, funny skit",I created this comedy sketch to brighten your day and make you smile.,"Amazing content, keep it up! | Great explanation, very helpful. | This was super entertaining. | High quality and well presented. | Loved this video!",2567,88,159,189,45.03
2007,1,7194,"valorant, tips and tricks",Jump into the action with me as I play an FPS match and talk through strategies.,"Disliked the presentation style. | Not useful at all. | Too repetitive and unoriginal. | Really boring, I didn't enjoy this. | Poor quality, needs improvement.",814,57,34,72,44.65
2008,9,15975,"music cover, acoustic guitar",Watch this live music session where I share one of my favorite covers.,"Thanks for sharing. | Interesting perspective. | This was okay overall. | Not bad, could be better. | I learned something new.",698,142,71,155,63.04
2009,7,20062,"tech review, pc setup",Join me as I dive into tech tips and highlight useful Windows shortcuts.,"High quality and well presented. | Great explanation, very helpful. | This was super entertaining. | Amazing content, keep it up! | Loved this video!",1667,155,77,265,62.51
2010,9,18664,"acoustic guitar, cover song",Sit back and enjoy as I perform an acoustic guitar cover of a popular song.,"Not useful at all. | Disliked the presentation style. | Too repetitive and unoriginal. | Really boring, I didn't enjoy this. | Poor quality, needs improvement.",1729,104,63,126,65.61
2011,1,11425,"valorant, clutch gameplay",Jump into the action with me as I play an FPS match and talk through strategies. (variant 2),"This was okay overall. | Interesting perspective. | I learned something new. | Not bad, could be better. | Thanks for sharing.",483,80,67,154,40.78
2012,12,6229,"bible verse, reflection",Here’s a short Bible study where I reflect on scripture and pray with you.,"Not useful at all. | Disliked the presentation style. | Really boring, I didn't enjoy this. | Poor quality, needs improvement. | Too repetitive and unoriginal.",362,43,22,87,62.17
2013,2,15648,"bible study, scripture reading","Let’s open the Bible, read a few lines, and spend some quiet time in prayer.","High quality and well presented. | This was super entertaining. | Amazing content, keep it up! | Loved this video! | Great explanation, very helpful.",1478,150,112,90,52.44
2014,10,5964,"homemade meal, cooking guide","Here’s a cooking tutorial where I walk you through ingredients, preparation, and plating.","Amazing content, keep it up! | Loved this video! | This was super entertaining. | Great explanation, very helpful. | High quality and well presented.",663,34,22,30,47.41
2015,10,8237,"baking, kitchen tips","In this video I’m preparing a homemade dish, explaining each step so you can follow along easily.","Disliked the presentation style. | Not useful at all. | Too repetitive and unoriginal. | Poor quality, needs improvement. | Really boring, I didn't enjoy this.",500,34,50,65,61.7
2016,9,14834,"cover, guitar, music",Here’s my version of a song on guitar — hope you like the performance.,"High quality and well presented. | Great explanation, very helpful. | Amazing content, keep it up! | This was super entertaining. | Loved this video!",764,136,80,134,65.58
2017,15,7279,"fitness, soccer, training",In this fitness video I’ll demonstrate drills that improve soccer performance.,"Poor quality, needs improvement. | Not useful at all. | Disliked the presentation style. | Really boring, I didn't enjoy this. | Too repetitive and unoriginal.",757,67,42,107,47.29
2018,14,24354,"adventure, vlog",Travel with me as I document my journey and show you the sights I visited.,"This was super entertaining. | Amazing content, keep it up! | Loved this video! | Great explanation, very helpful. | High quality and well presented.",2013,81,180,139,41.42
2019,10,18968,"baking, kitchen tips","Here’s a cooking tutorial where I walk you through ingredients, preparation, and plating. (variant 2)","Too repetitive and unoriginal. | Disliked the presentation style. | Really boring, I didn't enjoy this. | Poor quality, needs improvement. | Not useful at all.",1383,83,57,243,70.71
