video_id,user_id,views,captions,subtitles
2001,1,14055,"fps, gaming",Here’s a ranked gaming match with commentary on positioning and decision making.
2002,4,19998,"adventure, trip highlights","Join me as I explore a new city, sharing highlights and travel tips along the way."
2003,13,4213,"funny, internet humor",This video is packed with comedy skits and internet humor for a good time.
2004,14,5992,"adventure, trip highlights",In this vlog I’m taking you with me on an adventure to discover amazing places.
2005,15,16155,"soccer workout, endurance",Let’s train together! Today I’m going through a soccer workout to build stamina.
2006,3,21523,"comedy, funny skit",I created this comedy sketch to brighten your day and make you smile.
2007,1,7194,"valorant, tips and tricks",Jump into the action with me as I play an FPS match and talk through strategies.
2008,9,15975,"music cover, acoustic guitar",Watch this live music session where I share one of my favorite covers.
2009,7,20062,"tech review, pc setup",Join me as I dive into tech tips and highlight useful Windows shortcuts.
2010,9,18664,"acoustic guitar, cover song",Sit back and enjoy as I perform an acoustic guitar cover of a popular song.
2011,1,11425,"valorant, clutch gameplay",Jump into the action with me as I play an FPS match and talk through strategies.
2012,12,6229,"bible verse, reflection",Here’s a short Bible study where I reflect on scripture and pray with you.
2013,2,15648,"bible study, scripture reading","Let’s open the Bible, read a few lines, and spend some quiet time in prayer."
2014,10,5964,"homemade meal, cooking guide","Here’s a cooking tutorial where I walk you through ingredients, preparation, and plating."
2015,10,8237,"baking, kitchen tips","In this video I’m preparing a homemade dish, explaining each step so you can follow along easily."
2016,9,14834,"cover, guitar, music",Here’s my version of a song on guitar — hope you like the performance.
2017,15,7279,"fitness, soccer, training",In this fitness video I’ll demonstrate drills that improve soccer performance.
2018,14,24354,"adventure, vlog",Travel with me as I document my journey and show you the sights I visited.
2019,10,18968,"baking, kitchen tips","Here’s a cooking tutorial where I walk you through ingredients, preparation, and plating."
2020,8,13264,"makeup, skincare",Here’s a step-by-step guide to achieving this makeup look.
2021,4,16946,"travel diary, exploring",In this vlog I’m taking you with me on an adventure to discover amazing places.
2022,6,3420,"hockey, nhl, sports",In this video I’ll discuss hockey strategies and show key sports moments.
2023,1,12834,"fps, gaming highlights",Here’s a ranked gaming match with commentary on positioning and decision making.
2024,8,22277,"skincare, makeup haul",In this video I’ll share a makeup tutorial with tips for beginners.
2025,13,4703,"jokes, memes",Laugh with me as I go through some hilarious memes and funny moments.
2026,13,4659,"comedy, funny skit",Laugh with me as I go through some hilarious memes and funny moments.
