comment,sentiment_score,usefulness_score,usefulness_mentioned
Boring. Still confused — gaming clip,-0.33,0.18,1
Boring car mod 🤔,-0.78,0.1,0
Very entertaining. Saved me time — comedy skit 🤯,0.52,0.84,1
This is gold. Very helpful — budget meal,0.83,0.8,1
Okay I guess garden tour 😴,-0.05,0.53,0
Life-changing tip! Love the gaming clip 😂,0.64,0.83,0
Decent. somewhat useful for travel hack,-0.01,0.61,1
Impressive work! Love the college vlog 🧠,0.59,0.93,0
Clickbait. Didn’t learn anything — life hack,-0.41,0.28,1
Waste of time college vlog 😬,-0.46,0.3,0
This made my day. Practical tip — hair tutorial,0.91,0.93,1
Kinda useful language lesson 🔥,0.07,0.52,0
I learned a lot. This helped a lot — motivation 🙌,0.51,0.99,1
Cringe science experiment,-0.53,0.28,0
Low effort gaming clip 👎,-0.21,0.07,0
Chef’s kiss! Love the music cover,0.62,0.95,0
Inspiring. Practical tip — dance,0.8,0.83,1
Inspiring! Love the travel vlog 🙌,0.53,0.88,0
Hilarious! Love the basketball highlight 👏,0.6,0.95,0
Inspiring! Love the study tips 🎵,0.91,0.99,0
Not bad ASMR,0.28,0.56,0
Wholesome. I learned something new — fashion haul 😬,0.96,0.72,1
Amazing content! Love the life hack 😍,0.78,0.96,0
Kinda useful. somewhat useful for nail art 🧠,0.17,0.62,1
Clickbait. Not useful — AI demo,-0.92,0.04,1
Decent. somewhat useful for history fact,0.24,0.62,1
Wholesome. Taking notes — resume tips,0.78,0.99,1
Not bad home decor,0.19,0.61,0
Interesting ASMR,-0.2,0.66,0
Thanks for sharing tutorial 👎,0.19,0.54,0
Mixed feelings AI demo 👍,0.13,0.66,0
Loved this. Saved me time — movie recap,0.59,0.97,1
This is gold. Exactly what I needed — productivity,0.73,0.79,1
Confusing science experiment 😬,-0.8,0.29,0
Thanks for sharing nail art,0.12,0.68,0
Overhyped ASMR 📚,-0.71,0.39,0
Kinda useful. somewhat useful for language lesson,-0.16,0.64,1
Decent car mod,0.04,0.57,0
Brilliant! Love the college vlog,0.9,0.79,0
Crystal clear. This helped a lot — product review,0.5,0.89,1
Okay I guess. somewhat useful for cooking fail 🔥,-0.06,0.55,1
Too slow. This won’t work — prank 🍳,-0.39,0.1,1
Solid advice. Super useful — AI demo 👏,0.66,0.84,1
Misleading crypto explainer,-0.52,0.06,0
Well explained. Explained so well — cat video,0.71,0.72,1
Genius idea. Practical tip — home decor 🤔,0.99,0.91,1
Terrible explanation. No real tips — dance 😅,-0.67,0.02,1
Genius idea. I can finally do this — movie recap,0.7,0.84,1
Life-changing tip. Taking notes — coding,0.84,0.74,1
Annoying. Still confused — basketball highlight,-0.88,0.03,1
Boring workout,-0.71,0.25,0
Genius idea. This helped a lot — book review,0.69,0.98,1
Confusing. Still confused — language lesson 💯,-0.73,0.06,1
Thanks for sharing tutorial 🎵,0.2,0.42,0
Thanks for sharing music cover 😭,0.14,0.32,0
Well explained. I learned something new — mindfulness,0.99,0.92,1
Confusing. Didn’t explain the why — workout 🍳,-0.95,0.06,1
Solid advice. I can finally do this — photography 😂,0.72,0.88,1
This is gold! Love the parenting tip,0.5,0.62,0
Confusing. Not useful — nail art 📚,-0.87,0.14,1
Impressive work! Love the gaming clip,0.81,0.9,0
Not bad music cover,0.26,0.36,0
Decent. kinda helpful for tech unboxing 💯,0.01,0.45,1
Too fast. Missing steps — cat video 👏,-0.78,0.13,1
Too fast. This won’t work — parenting tip 📚,-0.64,0.16,1
Confusing. Zero value — coding,-0.47,0.05,1
Waste of time. Not useful — college vlog 😍,-0.28,0.17,1
Thanks for sharing. somewhat useful for comedy skit 🐶,0.0,0.48,1
Interesting ASMR,0.28,0.65,0
This is gold. Explained so well — photography,0.78,0.77,1
I learned a lot. This helped a lot — college vlog 🎵,0.85,0.94,1
Interesting finance advice 🙌,0.25,0.33,0
Could be better. kinda helpful for cooking fail 👏,0.1,0.42,1
Clickbait cooking fail 😬,-0.4,0.28,0
Crystal clear! Love the comedy skit 💯,0.44,0.81,0
Impressive work. I can finally do this — productivity 😬,0.84,0.76,1
Thanks for sharing tech unboxing 🐱,-0.13,0.55,0
Okay I guess nail art,-0.13,0.7,0
I learned a lot. I learned something new — resume tips,0.54,0.94,1
I learned a lot. Helped me fix it — hair tutorial,0.97,0.83,1
I’ll try this gaming clip,-0.02,0.66,0
Interesting dance,-0.06,0.41,0
Mixed feelings music cover,0.03,0.54,0
Interesting. kinda helpful for workout 😍,0.21,0.41,1
Cute!. Practical tip — tutorial 🤯,0.59,0.71,1
Inspiring. Taking notes — art timelapse 👎,0.81,0.93,1
Interesting travel hack 😍,0.25,0.37,0
Life-changing tip. Taking notes — car mod,0.85,0.84,1
Low effort crypto explainer 🤔,-0.31,0.13,0
Annoying. Didn’t explain the why — photography 🔥,-0.51,0.2,1
Loved this. I learned something new — knitting,0.67,0.79,1
Genius idea. Useful for beginners — AI demo 🧠,0.62,1.0,1
Cringe. Still confused — home decor,-0.38,0.22,1
I’ll try this resume tips 🤯,0.07,0.3,0
Hmm history fact 🙌,-0.02,0.32,0
Not bad. somewhat useful for movie recap 🐶,-0.17,0.41,1
Mixed feelings history fact 😅,-0.19,0.41,0
Hmm. kinda helpful for home decor 🔥,0.02,0.44,1
This made my day! Love the nail art,0.43,0.88,0
Too fast. Didn’t explain the why — art timelapse,-0.59,0.13,1
Thanks for sharing. kinda helpful for street food,0.21,0.47,1
Loved this! Love the mindfulness,0.67,0.88,0
Impressive work. I can finally do this — tech unboxing,0.58,0.71,1
Too slow crypto explainer ✨,-0.25,0.2,0
Super helpful! Love the tutorial 🎵,0.71,0.95,0
Not helpful car mod,-0.95,0.06,0
Misleading basketball highlight 🧠,-0.64,0.22,0
Hilarious! Love the product review 🤔,0.69,0.82,0
Okay I guess. kinda helpful for comedy skit,0.05,0.54,1
Life-changing tip! Love the budget meal 👏,0.51,0.78,0
Thanks for sharing productivity,0.06,0.7,0
I learned a lot! Love the car mod 🐶,0.86,0.99,0
Amazing content! Love the prank 📚,0.75,0.88,0
Interesting skincare,0.02,0.69,0
Not bad college vlog,-0.07,0.53,0
Hmm prank 👏,0.19,0.51,0
Mixed feelings car mod 🧠,-0.17,0.67,0
Okay I guess art timelapse,-0.08,0.58,0
Confusing cat video,-0.8,0.13,0
Not helpful. Zero value — recipe,-0.64,0.21,1
Super helpful! Love the movie recap 🙌,0.95,0.89,0
Super helpful. Explained so well — garden tour 💪,0.68,0.96,1
Not helpful. Didn’t help — life hack,-0.44,0.06,1
Could be better garden tour 🐱,-0.0,0.32,0
Genius idea! Love the dog video,0.71,0.81,0
This made my day. This helped a lot — product review 👎,0.93,0.75,1
Okay I guess resume tips 😍,0.07,0.51,0
Mixed feelings productivity,-0.0,0.55,0
Okay I guess travel hack,0.3,0.66,0
Annoying. Useless — budget meal 😅,-0.82,0.02,1
Impressive work! Love the resume tips,0.68,0.92,0
Confusing. Still confused — basketball highlight 🔥,-0.58,0.28,1
Impressive work. I learned something new — book review 🐱,0.85,0.98,1
Solid advice! Love the history fact 🙌,0.83,0.66,0
Boring cooking fail 🎵,-0.94,0.18,0
Well explained! Love the knitting 🎵,0.56,0.85,0
Overhyped. Useless — basketball highlight,-0.66,0.1,1
I didn’t get it life hack 🙌,-0.96,0.31,0
Inspiring. This helped a lot — history fact,0.89,0.98,1
Waste of time. Didn’t learn anything — music cover,-0.35,0.24,1
Loved this! Love the recipe 👍,0.98,0.73,0
Well explained! Love the history fact 📚,0.88,0.96,0
I’ll try this parenting tip 🤯,0.23,0.52,0
Chef’s kiss. Taking notes — dog video,0.76,0.84,1
Wholesome! Love the history fact 👍,0.94,0.9,0
Okay I guess productivity 🔥,0.14,0.33,0
Kinda useful book review 🎵,-0.19,0.48,0
Misleading productivity 📚,-0.53,0.23,0
I didn’t get it. Didn’t explain the why — finance advice 😅,-0.74,0.17,1
Loved this. Exactly what I needed — cat video,0.51,0.87,1
Cute!. I can finally do this — gaming clip,0.77,0.81,1
Loved this. Useful for beginners — prank,1.0,0.86,1
Mixed feelings dance 🤯,-0.06,0.38,0
Hilarious. Helped me fix it — life hack 👏,0.54,0.93,1
Clickbait language lesson 😴,-0.27,0.19,0
Annoying crypto explainer 🐱,-0.7,0.24,0
Well explained! Love the art timelapse 💪,0.63,0.83,0
Genius idea! Love the thrifting 🐶,0.97,0.71,0
Okay I guess dog video,0.23,0.35,0
Hilarious! Love the art timelapse,0.86,0.86,0
Solid advice! Love the cooking fail,0.46,0.63,0
I didn’t get it. No real tips — thrifting ✨,-0.95,0.1,1
Amazing content. I learned something new — skincare,0.94,0.93,1
Impressive work. This helped a lot — parenting tip,0.86,0.76,1
Cringe. No real tips — resume tips 😍,-0.77,0.26,1
Cringe. No real tips — knitting,-0.36,0.19,1
Could be better recipe 😍,0.22,0.44,0
Inspiring. Bookmarked for later — coding,0.96,0.71,1
Decent car mod 👏,0.0,0.43,0
Not bad. kinda helpful for travel vlog,0.29,0.69,1
I didn’t get it. Useless — comedy skit,-0.45,0.18,1
I’ll try this productivity,0.05,0.33,0
Waste of time. Zero value — book review 🤯,-0.29,0.19,1
Loved this. Saved me time — travel hack 🤔,0.78,0.96,1
Interesting coding,0.16,0.56,0
Super helpful. This answered my question — nail art ✨,0.84,0.87,1
Crystal clear. I learned something new — nail art 🧠,0.86,0.99,1
Well explained! Love the college vlog 👏,0.93,0.85,0
Cute!. This answered my question — garden tour 😍,0.85,0.9,1
Cute!. Practical tip — ASMR 🐶,0.52,0.94,1
Confusing prank,-0.78,0.39,0
Not bad. somewhat useful for comedy skit 🐱,-0.03,0.63,1
Mixed feelings travel hack 👏,-0.12,0.56,0
Boring. Not helpful at all — dog video,-0.47,0.25,1
Interesting. somewhat useful for tech unboxing 💪,0.29,0.63,1
Too slow recipe,-0.84,0.34,0
Genius idea. Clear and useful — productivity 😂,0.8,0.82,1
Amazing content! Love the motivation,0.55,0.88,0
This is gold. This helped a lot — cat video 🧠,0.79,0.93,1
Crystal clear. Exactly what I needed — dog video 😴,0.92,0.79,1
Kinda useful. somewhat useful for basketball highlight,0.06,0.56,1
Decent life hack,-0.2,0.54,0
Could be better ASMR 💯,-0.01,0.36,0
Boring history fact 🤯,-0.54,0.05,0
Misleading mindfulness,-0.4,0.07,0
Decent productivity,-0.0,0.5,0
Too fast. No real tips — ASMR 🤔,-0.67,0.21,1
I learned a lot. Bookmarked for later — photography 😴,0.86,0.84,1
Amazing content. Exactly what I needed — study tips 😍,0.67,0.73,1
Not bad. somewhat useful for coding 😅,-0.15,0.4,1
Annoying. This won’t work — knitting 😍,-0.75,0.03,1
Not helpful. Still confused — skincare,-0.75,0.04,1
Not helpful. Not useful — recipe,-0.4,0.05,1
Misleading. Didn’t learn anything — recipe 💪,-0.86,0.27,1
Hmm motivation 🐶,0.29,0.68,0
Interesting. somewhat useful for music cover 👍,0.12,0.6,1
Genius idea! Love the language lesson 🍳,0.87,0.61,0
Not helpful music cover,-0.22,0.17,0
Could be better. somewhat useful for workout 🤔,0.14,0.67,1
Hilarious! Love the college vlog,0.88,0.76,0
Inspiring. Taking notes — cleaning hack 😅,0.51,0.89,1
Inspiring. Taking notes — nail art 📚,0.68,0.98,1
So good!. This answered my question — budget meal 👍,0.63,0.86,1
Cute!! Love the finance advice,0.42,0.88,0
Annoying fashion haul,-0.3,0.23,0
I learned a lot. Bookmarked for later — gaming clip ✨,0.79,0.82,1
Genius idea! Love the book review 🐱,0.48,0.74,0
This made my day! Love the cooking fail 😴,0.67,0.71,0
Mixed feelings parenting tip,0.14,0.39,0
Low effort. No real tips — mindfulness,-0.59,0.27,1
Clickbait garden tour,-0.64,0.02,0
Okay I guess parenting tip,0.12,0.55,0
Decent. kinda helpful for history fact,0.27,0.7,1
Super helpful! Love the ASMR 👎,0.93,0.94,0
Impressive work. Exactly what I needed — prank 👏,0.84,0.85,1
Clickbait. This won’t work — car mod,-0.83,0.04,1
Kinda useful makeup 👍,0.21,0.49,0
Could be better history fact 😍,0.28,0.68,0
Misleading. Not helpful at all — resume tips,-0.54,0.15,1
Terrible explanation. Still confused — gaming clip 👎,-0.93,0.21,1
Boring. Not useful — study tips,-0.36,0.14,1
Boring fashion haul 🐱,-0.46,0.33,0
Overhyped. Missing steps — budget meal,-0.46,0.3,1
Kinda useful book review,0.08,0.32,0
Mixed feelings gaming clip 🔥,0.18,0.36,0
Too fast AI demo,-0.68,0.3,0
Clickbait. Not helpful at all — ASMR 😴,-0.66,0.04,1
Boring AI demo,-0.71,0.26,0
Could be better. kinda helpful for dog video 🧠,0.21,0.62,1
Interesting life hack,0.22,0.6,0
Kinda useful recipe,0.12,0.32,0
Overhyped basketball highlight,-0.25,0.3,0
Inspiring! Love the music cover 😅,0.93,0.69,0
Cute!! Love the cooking fail 😴,0.72,0.95,0
Cute!! Love the resume tips 😅,0.8,0.71,0
Cute!. Taking notes — history fact 😴,0.89,0.78,1
I learned a lot. Saved me time — cooking fail 🍳,0.93,0.81,1
Amazing content. I learned something new — dance 👏,0.7,0.99,1
I learned a lot. Useful for beginners — music cover 😬,0.72,0.81,1
Loved this! Love the prank,0.68,0.91,0
Boring. Still confused — comedy skit 😬,-0.88,0.15,1
Genius idea. Practical tip — workout 🐱,0.6,0.91,1
Interesting. somewhat useful for basketball highlight,0.24,0.65,1
Too slow motivation,-0.61,0.08,0
Impressive work! Love the music cover 👏,0.82,0.66,0
Cute!! Love the cleaning hack 🤔,0.51,0.9,0
Cute!! Love the skincare 🤔,0.84,0.89,0
Chef’s kiss. Exactly what I needed — cat video,0.95,0.78,1
Boring. Useless — skincare 😭,-0.49,0.2,1
Too fast. Still confused — budget meal,-0.23,0.19,1
So good!. Exactly what I needed — makeup 🎵,0.8,0.83,1
Not bad travel hack 🧠,0.13,0.47,0
Solid advice. This answered my question — budget meal,0.65,0.91,1
I didn’t get it AI demo ✨,-0.82,0.22,0
Mixed feelings. kinda helpful for home decor 😂,-0.1,0.65,1
Thanks for sharing. somewhat useful for hair tutorial,0.3,0.44,1
Decent skincare,0.1,0.55,0
Decent. kinda helpful for resume tips,-0.15,0.47,1
Very entertaining! Love the cooking fail,0.88,0.91,0
Interesting. kinda helpful for resume tips 💯,0.12,0.67,1
I’ll try this motivation,-0.05,0.39,0
Thanks for sharing mindfulness,-0.08,0.51,0
Not bad street food,0.06,0.3,0
Solid advice. Very helpful — fashion haul,0.78,0.8,1
Chef’s kiss. Taking notes — motivation,0.61,1.0,1
Chef’s kiss. Helped me fix it — hair tutorial 📚,0.66,0.87,1
Genius idea. Explained so well — knitting 🧠,0.75,0.72,1
This made my day. Super useful — dance,0.97,0.92,1
Super helpful. I learned something new — skincare 🧠,0.73,0.9,1
Misleading AI demo 😭,-0.55,0.18,0
Confusing hair tutorial 😬,-0.97,0.23,0
Solid advice! Love the tutorial,0.84,0.9,0
Terrible explanation. Missing steps — skincare,-0.55,0.23,1
Could be better. kinda helpful for ASMR 🐱,-0.15,0.68,1
Too slow productivity,-0.6,0.24,0
Genius idea! Love the mindfulness,0.74,0.61,0
Overhyped. Still confused — science experiment,-0.33,0.29,1
Overhyped comedy skit,-0.65,0.09,0
Cringe street food,-0.9,0.28,0
Genius idea! Love the ASMR 😴,0.45,0.68,0
I didn’t get it. This won’t work — budget meal 🙌,-0.57,0.28,1
Annoying. Still confused — prank 👍,-0.5,0.15,1
Loved this. This helped a lot — cooking fail 💯,0.79,0.85,1
Cringe nail art 😬,-0.79,0.26,0
Genius idea. I learned something new — music cover,0.59,0.88,1
Solid advice. Exactly what I needed — gaming clip ✨,0.53,0.85,1
I’ll try this cleaning hack 👎,-0.2,0.45,0
I’ll try this. kinda helpful for movie recap 🐱,0.26,0.53,1
I’ll try this. kinda helpful for gaming clip,-0.18,0.64,1
Solid advice! Love the basketball highlight,0.99,0.82,0
Overhyped. Not useful — mindfulness,-0.96,0.27,1
Well explained. Practical tip — movie recap,0.77,0.74,1
