video_id,user_id,comment,label,is_quality_related,quality_label,cleaned_comment,tokens,sentiment_score
82,1081,"Solid attempt, could be better ",neutral,False,1,"solid attempt, could be better","['solid', 'attempt', ',', 'could', 'be', 'better']",1
11,1010,"Whoa, whoa, whoa, whoa, whoa. ",neutral,False,1,"whoa, whoa, whoa, whoa, whoa.","['whoa', ',', 'whoa', ',', 'whoa', ',', 'whoa', ',', 'whoa', '.']",1
461,1460,"Unwatchable, my eyes need therapy ",negative,True,0,"unwatchable, my eyes need therapy","['unwatchable', ',', 'my', 'eyes', 'need', 'therapy']",0
447,1446,"Whoa, whoa, whoa, whoa, whoa. ",neutral,False,1,"whoa, whoa, whoa, whoa, whoa.","['whoa', ',', 'whoa', ',', 'whoa', ',', 'whoa', ',', 'whoa', '.']",1
26,1025,Lowkey the best thing on my FYP today ,positive,False,1,lowkey the best thing on my fyp today,"['lowkey', 'the', 'best', 'thing', 'on', 'my', 'fyp', 'today']",2
244,1243,Bro thought he ate  ,negative,False,1,bro thought he ate,"['bro', 'thought', 'he', 'ate']",0
395,1394,"Not bad, not great either ",neutral,False,1,"not bad, not great either","['not', 'bad', ',', 'not', 'great', 'either']",1
223,1222,"Not bad, not great either",neutral,False,1,"not bad, not great either","['not', 'bad', ',', 'not', 'great', 'either']",1
304,1303,"This made my whole day better, tysm! ",positive,False,1,"this made my whole day better, tysm!","['this', 'made', 'my', 'whole', 'day', 'better', ',', 'tysm', '!']",2
415,1414,Does it hurt? Though? ,neutral,False,1,does it hurt? though?,"['does', 'it', 'hurt', '?', 'though', '?']",1
411,1410,"Not bad, not great either ",neutral,False,1,"not bad, not great either","['not', 'bad', ',', 'not', 'great', 'either']",1
396,1395,"Not bad, not great either ",neutral,False,1,"not bad, not great either","['not', 'bad', ',', 'not', 'great', 'either']",1
189,1188,This was kinda mid ngl ,negative,False,1,this was kinda mid ngl,"['this', 'was', 'kinda', 'mid', 'ngl']",0
71,1070,Singing is a gift. U didn’t receive it. ,negative,False,1,singing is a gift. u didn’t receive it.,"['singing', 'is', 'a', 'gift', '.', 'u', 'didn', '’', 't', 'receive', 'it', '.']",0
234,1233,Why are you so perfect? Are you a toaster? ,positive,False,1,why are you so perfect? are you a toaster?,"['why', 'are', 'you', 'so', 'perfect', '?', 'are', 'you', 'a', 'toaster', '?']",2
397,1396,How are you real?? Unreal talent ,positive,False,1,how are you real?? unreal talent,"['how', 'are', 'you', 'real', '?', '?', 'unreal', 'talent']",2
377,1376,Bro thought he ate  ,negative,False,1,bro thought he ate,"['bro', 'thought', 'he', 'ate']",0
255,1254,"Drip is immaculate, I’m stealing this look  ",positive,False,1,"drip is immaculate, i’m stealing this look","['drip', 'is', 'immaculate', ',', 'i', '’', 'm', 'stealing', 'this', 'look']",2
196,1195,Your video just cured my depression. Do you take cash or card?,positive,False,1,your video just cured my depression. do you take cash or card?,"['your', 'video', 'just', 'cured', 'my', 'depression', '.', 'do', 'you', 'take', 'cash', 'or', 'card', '?']",2
412,1411,Lowkey the best thing on my FYP today ,positive,False,1,lowkey the best thing on my fyp today,"['lowkey', 'the', 'best', 'thing', 'on', 'my', 'fyp', 'today']",2
442,1441,Singing is a gift. U didn’t receive it. ,negative,False,1,singing is a gift. u didn’t receive it.,"['singing', 'is', 'a', 'gift', '.', 'u', 'didn', '’', 't', 'receive', 'it', '.']",0
