video_id,user_id,comment,sentiment_score
1,7001,"Solid attempt, could improve",0.43
2,7002,"Felt dragged out, lost me halfway",0.37
3,7003,"Unwatchable, I had to scroll",0.12
4,7004,Lowkey the best thing on my FYP today,0.98
5,7005,"Unwatchable, I had to scroll",0.09
6,7006,Pretty mid but not terrible,0.52
7,7007,"The audio was rough, couldn’t listen",0.04
8,7008,"Super basic, nothing new",0.31
9,7009,"Highkey useful, tysm",0.69
10,7010,"Not bad, not great either",0.49
11,7011,Main character energy right here,0.71
12,7012,Pretty mid but not terrible,0.46
13,7013,"Solid attempt, could improve",0.5
14,7014,"Felt dragged out, lost me halfway",0.39
15,7015,"It’s okay, seen better",0.47
16,7016,"Alright I guess, nothing new",0.43
17,7017,Pretty mid but not terrible,0.56
18,7018,"Solid attempt, could improve",0.42
19,7019,"Highkey useful, tysm",0.62
20,7020,"Solid attempt, could improve",0.46
21,7021,"Solid attempt, could improve",0.41
22,7022,"Highkey useful, tysm",0.65
23,7023,Worst thing on my FYP today,0.14
24,7024,"Real talent, keep posting",0.86
25,7025,Pretty mid but not terrible,0.5
26,7026,The editing was on point fr,0.69
27,7027,The editing was on point fr,0.68
28,7028,"Meh, it’s fine I guess",0.44
29,7029,Bro thought he ate,0.34
30,7030,"Loved every second, pure vibes",0.93
31,7031,"Unwatchable, I had to scroll",0.08
32,7032,"Solid attempt, could improve",0.57
33,7033,"Average content, nothing special",0.42
34,7034,"Real talent, keep posting",0.9
35,7035,"This actually ate, no crumbs",0.87
36,7036,"This actually ate, no crumbs",0.93
37,7037,"Highkey useful, tysm",0.66
38,7038,"Loved every second, pure vibes",0.96
39,7039,Some effort but not memorable,0.52
40,7040,Main character energy right here,0.75
41,7041,Some effort but not memorable,0.58
42,7042,Worst thing on my FYP today,0.03
43,7043,"This was so clean, respect",0.86
44,7044,"Meh, it’s fine I guess",0.46
45,7045,"Average content, nothing special",0.51
46,7046,"Painful edit, not it",0.0
47,7047,Okay-ish but kinda bland,0.52
48,7048,"Meh, it’s fine I guess",0.46
49,7049,Lowkey the best thing on my FYP today,0.94
50,7050,Lowkey the best thing on my FYP today,0.85
51,7051,Okay-ish but kinda bland,0.45
52,7052,"Loved every second, pure vibes",0.8
53,7053,"Highkey useful, tysm",0.78
54,7054,"Clear explanation, easy to follow",0.68
55,7055,"This was so clean, respect",0.92
56,7056,"Unwatchable, I had to scroll",0.19
57,7057,Pretty mid but not terrible,0.44
58,7058,This was kinda mid ngl,0.35
59,7059,"This actually ate, no crumbs",0.88
60,7060,Couldn’t finish this one,0.14
61,7061,The editing was on point fr,0.6
62,7062,"Painful edit, not it",0.19
63,7063,Neutral on this topic,0.51
64,7064,The editing was on point fr,0.64
65,7065,"Meh, it’s fine I guess",0.45
66,7066,Production felt so cheap,0.0
67,7067,Couldn’t finish this one,0.18
68,7068,"Super basic, nothing new",0.24
69,7069,Couldn’t finish this one,0.19
70,7070,Main character energy right here,0.75
71,7071,Okay-ish but kinda bland,0.56
72,7072,"Alright I guess, nothing new",0.52
73,7073,"Not bad, not great either",0.54
74,7074,"It’s okay, seen better",0.52
75,7075,Pretty mid but not terrible,0.43
76,7076,"Painful edit, not it",0.06
77,7077,"Painful edit, not it",0.15
78,7078,Lowkey the best thing on my FYP today,0.88
79,7079,Worst thing on my FYP today,0.17
80,7080,"Highkey useful, tysm",0.64
81,7081,The editing was on point fr,0.6
82,7082,"Real talent, keep posting",0.98
83,7083,Some effort but not memorable,0.49
84,7084,Couldn’t finish this one,0.12
85,7085,"Felt dragged out, lost me halfway",0.26
86,7086,"Painful edit, not it",0.18
87,7087,The editing was on point fr,0.7
88,7088,Lowkey the best thing on my FYP today,0.93
89,7089,"Loved every second, pure vibes",0.93
90,7090,"Clear explanation, easy to follow",0.61
91,7091,"Solid attempt, could improve",0.49
92,7092,"This actually ate, no crumbs",0.94
93,7093,"Meh, it’s fine I guess",0.41
94,7094,"Clear explanation, easy to follow",0.72
95,7095,"Alright I guess, nothing new",0.56
96,7096,Couldn’t finish this one,0.13
97,7097,"Loved every second, pure vibes",0.92
98,7098,Neutral on this topic,0.55
99,7099,"Not bad, not great either",0.47
100,7100,This was kinda mid ngl,0.22
101,7101,Some effort but not memorable,0.42
